account_code,description,load_timestamp
6626XJMNX,Office Supplies and Stationary,##########
8908OIRWX,Software Licenses and Subscriptions,##########
6364XYDPU,Professional Services and Consulting Fees,##########
7363BUTUZ,Marketing and Advertising Expenses,##########
7840TWRPI,Meals and Entertainment,##########
5674UEPWQ,Telecommunications and Internet Services,##########
4675UIHLO,Janitorial and Cleaning Services,##########
3777FKGYT,Employee Training and Development,##########
3817KHBNO,Legal and Regulatory Compliance Services,##########
9677OLHYV,Intellectual Property and Patents,##########
7161ERALA,Computers and information Technology Equipment,##########
7043OWVTM,Capitalized Research and Development Costs,##########
2477ECVTW,Construction-in-Progress and Capital Projects,##########
6534OOJLM,Machinery and Manufacturing Equipment,##########
7551DMDMJ,Furniture and Fixtures,##########
